Release date,Product,Platform,Impact,Max Severity,Article,Article (Link),Download,Download (Link),Build Number,Details,Details (Link)
28-Aug-25,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,139.0.3405.125,CVE-2025-9478,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-9478
21-Aug-25,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,138.0.3351.144,CVE-2025-9132,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-9132
21-Aug-25,Windows Server 2012 R2 (Server Core installation),,Remote Code Execution,Important,5062597,https://support.microsoft.com/help/5062597,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,6.3.9600.22676,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2012 R2,,Remote Code Execution,Important,5062597,https://support.microsoft.com/help/5062597,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,6.3.9600.22676,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2016 (Server Core installation),,Remote Code Execution,Important,5062560,https://support.microsoft.com/help/5062560,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,10.0.14393.8246,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2016,,Remote Code Execution,Important,5062560,https://support.microsoft.com/help/5062560,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,10.0.14393.8246,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2025,,Remote Code Execution,Important,5062553,https://support.microsoft.com/help/5062553,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,10.0.26100.4652,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2025 (Server Core installation),,Remote Code Execution,Important,5062553,https://support.microsoft.com/help/5062553,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,10.0.26100.4652,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2022 (Server Core installation),,Remote Code Execution,Important,5062572,https://support.microsoft.com/help/5062572,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,10.0.20348.3932,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
21-Aug-25,Windows Server 2022,,Remote Code Execution,Important,5062572,https://support.microsoft.com/help/5062572,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,10.0.20348.3932,CVE-2025-55231,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55231
